职业代码,职业名称,职业说明,职业任务
2-02-02-03,摄影测量与遥感工程技术人员,运用光学或其他传感设备，从事目标物影像或其他观测数据、时空辅助参数获取，确定、表达目标物形状、大小、空间位置、性质、变化的工程技术人员。,"['运用航空航天飞行器、地面移动或固定观测平台及遥感设备，获取目标物遥感数据及辅助参数。', '指导作业人员进行目标物影像控制测量、区域网空中三角测量、立体测图影像处理。', '判译、分析目标物遥感影像，提取地形及专题要素，组织生产各比例尺地形原图和数字影像产品。', '处理、分析和解译影像数据，获取研究对象的变迁过程和规律等时空信息。', '检查、验收测量成果。']"
2-02-02-04,地图制图工程技术人员,从事模拟和数字地图研究、设计、编制、可视化表达的工程技术人员。,"['运用地图制图理论和方法，编绘、设计地图出版原图。', '制订地图制作工艺流程，指导作业人员编制地图。', '采集、处理地图数据，设计、建立和维护地图数据库。', '设计开发并指导制作多媒体地图、专题地图、特型地图等新产品及可视化表达。', '检查、验收地图制图成果。']"
2-02-02-05,海洋测绘工程技术人员,从事海洋水体、海洋工程和海底测量，编制海图等航海资料的工程技术人员。,"['设计、确定海洋深度基准，进行海洋平面、高程控制测量和海洋重力测量。', '研究、测定海面、海底地形及其变化。', '设计、实施岸线测量、航道测量、海洋工程测量。', '设计、编制航海图、海底地形图、各种海洋专题图。', '进行海洋水文测量，监测水位、水温、盐度、水质、泥沙含量、流速流向、气象、海冰等要素。', '检查、验收测绘成果。']"
2-02-02-06,地理国情监测工程技术人员,从事地理国情监测工程设计、信息挖掘分析并指导产品制作的工程技术人员。,"['定制开发地理国情监测、普查软件工具和生产技术平台。', '进行地理国情监测工程设计和指标体系构建，指导作业人员搜集、采集、整理地理信息数据资料。', '进行地形地貌、地表覆被、地理单元等地理国情要素动态、多时相的信息挖掘。']"
2-02-02-05,地理国情监测工程技术人员,从事地理国情监测、普查及相关技术服务的工程技术人员。,"['编制地理国情监测图集、报告，指导地理国情监测产品生产制作。', '提供地理国情信息数据支持、设备管理和技术咨询。', '检查、验收地理国情监测、普查成果。']"
2-02-02-07,地理信息系统工程技术人员,从事地理信息系统(GIS)设计开发，地理信息数据库采集与集成、建库与管理、分析与应用、分发与服务的工程技术人员。,"['研究、设计地理信息系统(GIS)开发、集成和可视化表达。', '研究、应用地理信息数据采集与集成的技术方法和工艺流程，指导作业人员对采集的数据进行标准化录入，建立地理信息数据库。', '应用地理信息系统(GIS)软件或工具，设计并组织实施地理信息数据库空间分析、数据建模。', '定制开发地理信息系统(GIS)，提供图表或数据服务。', '维护、更新、管理地理信息系统(GIS)数据库。', '检验地理信息数据库准确性、精确性、完整性和逻辑性。']"
2-02-02-08,导航与位置服务工程技术人员,从事地图导航定位产品设计架构和系统开发，提供位置及位置关联信息服务的工程技术人员。,"['进行地图导航定位产品设计架构和软硬件系统开发。', '指导作业人员完成导航兴趣点(POI)、道路、水系、绿地及其属性等导航地理信息采集、标准化录入、模型表达、整合、编译、转换测试。', '编绘设计导航电子地图，开发导航设备集成、服务平台。', '设计制作互联网地图产品，提供地图搜索、下载、发送和地理信息标注、引用服务。', '进行网络、通信系统技术集成，提供位置监控、危险预警、应急救援等位置信息和产品服务。', '进行导航产品室内和实地测试。', '检查、验收导航与位置服务成果。']"
2-02-02-09,地质测绘工程技术人员,从事地质地理要素测量、测绘图件绘制的工程技术人员。,"['进行地质调查和矿产勘查地质点、剖面和勘探网测量。', '进行物化探、钻探掘进工程定位测量。', '进行矿区工程设计、施工控制测量和地形图测绘。', '研究、应用地质测绘新技术、新方法。', '研发地质测绘软硬件。', '进行测量成果图件编制、数据库建库和管理。', '编制地质测绘相关技术和质量标准、规程。', '进行地质测绘技术咨询服务。']"
2-02-03,矿山工程技术人员,从事采矿、选矿与矿物加工生产工艺开发、设计并指导生产的工程技术人员。,[]
2-02-03-01,矿井建设工程技术人员,"从事矿井井筒设计、采区初步设计编制与审查, 进行井筒、硐室、巷道等矿井工程项目施工组织与管理的工程技术人员。","['研究井工矿矿区地质构造、矿床、矿物的分布和赋存状况。', '编制矿井、采区初步设计，审查设计。', '制订井筒建设、巷道掘进使用的装备安全技术措施，制订并落实矿井建设工程施工安全、环境保护、健康保护措施。', '编制并落实开拓作业规程，指导施工人员作业，并进行质量控制。', '组织井筒、硐室、主要水平巷道等矿建工程项目施工及工程管理。', '组织编制近期开拓工程衔接安排，超前分析开拓煤量及区域衔接情况，调整开拓工程施工计划。', '排查开拓区域的安全隐患，参与开拓重大事故的抢救及事故分析。', '组织指导开拓新技术、新装备、新工艺、新材料的推广工作和技术攻关。']"
2-02-03-02,采矿工程技术人员,从事采矿生产工艺开发、设计，进行采矿生产、技术指导的工程技术人员。,"['研究地质构造、矿床、矿物情况。', '研究露天、井下采矿生产工艺方法、开拓布置方式。', '研究提高产量、资源利用的方法。', '设计矿区开采规划、开拓方式、采矿生产工艺和装备、生产布局及生产系统。', '制订采掘技术指标。', '根据地质、矿床、作业面情况，调整操作方法、技术规程。', '进行矿山生产组织、调度。', '制订矿井疏干排水与防洪计划，制订矿山边坡防滑移措施。', '分析处理生产技术问题，指导生产人员作业。', '制订维护、保养、修理作业面、巷道的方法。', '研究与制订采矿机械化的技术方案与开采工艺。', '设计矿井安全系统，制订安全作业规程及预防事故措施。']"
2-02-03-03,矿山通风工程技术人员,从事矿山通风、防尘、防火、瓦斯防治、防突、矿井安全监测监控、矿山救护技术研究、管理的工程技术人员。,"['研究煤矿瓦斯赋存状况、煤层自然发火机理、矿尘燃烧爆炸机理。', '研究矿井通风、瓦斯防治、煤层自燃等相关技术。']"
2-02-03-04,选矿与矿物加工工程技术人员,,[]
2-02-03-05,矿山环保复垦工程技术人员,,[]
2-02-03-04,选矿与矿物加工工程技术人员,从事原煤等矿物精选生产工艺研究、设计，进行选矿生产及技术培训、管理等工作的工程技术人员。,"['研究开发选矿技术，研制新的选矿工艺方法。', '研究使用重选、浮选、磁选等生产工艺方法，对矿物进行精选。', '研究提高选矿精度和回收有用矿物的方法。', '设计洗煤、选矿的生产工艺和生产布局。', '制订精煤指标、产品结构、精煤回收率等选矿技术指标。', '根据原矿变化情况，调整选矿操作方法、技术规程和生产工艺。', '制订选矿药剂等介质的配制方法。', '分析处理选矿生产技术问题，指导生产人员作业。', '研究矿物的综合利用。']"
